Ozisik
Ozisik
At time 0.0000000
22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000
23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168
25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298
26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390
28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445
29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463
31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444
32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388
34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295
35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166
37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000
Ozisik
At time 0.0000033
22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000
23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168
25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298
26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390
28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445
29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463
31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444
32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388
34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295
35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166
37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000
Ozisik
At time 0.0000066
22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000
23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168
25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298
26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390
28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445
29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463
31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444
32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388
34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295
35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166
37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000
Ozisik
At time 0.0000099
22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000, 22.0000
23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168, 23.5168
25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298, 25.0298
26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390, 26.5390
28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445, 28.0445
29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463, 29.5463
31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444, 31.0444
32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388, 32.5388
34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295, 34.0295
35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166, 35.5166
37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000, 37.0000
